time;path1;skr1_bps;path2;skr2_bps;path3;skr3_bps;skr_xor_bps
2025-08-31T12:34:00Z;Munich->Sat-08-31->Sat-07-30->Sat-17-23->Sat-16-23->Sat-15-23->Sat-14-22->Sat-04-32->NewYork;5859.296497799139;Munich->Sat-08-32->Sat-17-21->Sat-07-32->Sat-16-21->Sat-06-32->Sat-15-21->Sat-05-32->Sat-14-21->NewYork;4241.688629334788;Munich->Sat-18-21->Sat-08-33->Sat-17-20->Sat-07-33->Sat-16-20->Sat-06-33->Sat-15-20->Sat-05-33->Sat-14-20->NewYork;5515.897404328343;4241.688629334788
2025-08-31T12:35:00Z;Munich->Sat-08-31->Sat-17-21->Sat-07-31->Sat-16-21->Sat-06-31->Sat-15-21->Sat-05-31->Sat-14-20->NewYork;5813.364450020464;Munich->Sat-08-30->Sat-17-22->Sat-16-22->Sat-15-22->Sat-04-30->Sat-14-21->NewYork;2426.6057548201093;Munich->Sat-18-21->Sat-18-22->Sat-07-29->Sat-17-23->Sat-16-23->Sat-15-23->Sat-14-22->Sat-04-31->NewYork;3905.0487380035333;2426.6057548201093
2025-08-31T12:36:00Z;Munich->Sat-08-31->Sat-17-20->Sat-07-31->Sat-16-20->Sat-06-31->Sat-15-20->Sat-05-31->Sat-14-20->NewYork;5155.714083334034;Munich->Sat-08-30->Sat-07-29->Sat-17-22->Sat-16-22->Sat-15-22->Sat-14-21->Sat-04-31->NewYork;5618.34151735433;Munich->Sat-18-20->Sat-08-32->Sat-17-19->Sat-07-32->Sat-16-19->Sat-06-32->Sat-15-19->Sat-05-32->Sat-14-19->NewYork;4666.621425941558;4666.621425941558
2025-08-31T12:37:00Z;Munich->Sat-08-30->Sat-17-20->Sat-07-30->Sat-16-20->Sat-06-30->Sat-15-20->Sat-05-30->Sat-14-20->NewYork;2363.6662573028243;Munich->Sat-18-21->Sat-07-28->Sat-17-22->Sat-16-22->Sat-15-22->Sat-04-29->Sat-04-30->NewYork;2368.7564102519495;Munich->Sat-08-31->Sat-17-19->Sat-07-31->Sat-16-19->Sat-06-31->Sat-15-19->Sat-05-31->Sat-14-19->NewYork;2440.5164626318074;2363.6662573028243
2025-08-31T12:38:00Z;Munich->Sat-08-30->Sat-17-19->Sat-07-30->Sat-16-19->Sat-06-30->Sat-15-19->Sat-05-30->Sat-14-19->NewYork;5216.13036011373;Munich->Sat-08-29->Sat-07-28->Sat-06-28->Sat-05-28->Sat-15-21->Sat-14-20->Sat-04-30->NewYork;5254.754048132521;Munich->Sat-18-19->Sat-08-31->Sat-17-18->Sat-07-31->Sat-16-18->Sat-06-31->Sat-15-18->Sat-05-31->Sat-14-18->NewYork;3877.1802042945947;3877.1802042945947
2025-08-31T12:39:00Z;Munich->Sat-08-29->Sat-17-19->Sat-07-29->Sat-16-19->Sat-06-29->Sat-15-19->Sat-05-29->Sat-14-19->NewYork;2551.7196281597044;Munich->Sat-18-20->Sat-07-28->Sat-06-28->Sat-05-28->Sat-04-28->Sat-04-29->NewYork;2906.3792317272937;Munich->Sat-08-30->Sat-17-18->Sat-07-30->Sat-16-18->Sat-06-30->Sat-15-18->Sat-05-30->Sat-14-18->NewYork;2908.568768705824;2551.7196281597044
2025-08-31T12:40:00Z;Munich->Sat-08-28->Sat-07-27->Sat-06-27->Sat-05-27->Sat-15-20->Sat-14-19->Sat-04-29->NewYork;4812.60842351381;Munich->Sat-18-19->Sat-17-19->Sat-16-19->Sat-15-19->Sat-05-29->Sat-14-18->NewYork;5077.608284860672;Munich->Sat-08-29->Sat-17-18->Sat-07-29->Sat-16-18->Sat-06-29->Sat-15-18->Sat-05-30->Sat-14-17->NewYork;3166.7237121022454;3166.7237121022454
2025-08-31T12:41:00Z;Munich->Sat-18-19->Sat-07-27->Sat-06-27->Sat-05-27->Sat-05-28->Sat-14-18->NewYork;2684.7737361088653;Munich->Sat-08-28->Sat-17-18->Sat-07-28->Sat-16-18->Sat-06-28->Sat-15-18->Sat-05-29->Sat-14-17->NewYork;4921.24071509375;Munich->Sat-18-18->Sat-08-27->Sat-07-26->Sat-06-26->Sat-05-26->Sat-15-20->Sat-04-27->Sat-04-28->NewYork;2772.280819240214;2684.7737361088653
2025-08-31T12:42:00Z;Munich->Sat-08-27->Sat-07-27->Sat-06-27->Sat-15-18->Sat-05-28->Sat-14-17->NewYork;4309.954663712863;Munich->Sat-18-18->Sat-18-19->Sat-07-26->Sat-06-26->Sat-05-26->Sat-15-19->Sat-14-18->Sat-04-28->NewYork;10058.62889753355;Munich->Sat-08-28->Sat-17-18->Sat-16-18->Sat-06-28->Sat-15-17->Sat-05-29->Sat-14-16->NewYork;2548.4291123504563;2548.4291123504563
2025-08-31T12:43:00Z;Munich->Sat-18-18->Sat-17-18->Sat-16-18->Sat-15-18->Sat-05-27->Sat-14-17->NewYork;2750.62750135761;Munich->Sat-08-27->Sat-17-17->Sat-07-27->Sat-16-17->Sat-06-27->Sat-15-17->Sat-05-28->Sat-14-16->NewYork;4068.872832494605;Munich->Sat-18-17->Sat-08-26->Sat-07-25->Sat-06-25->Sat-05-25->Sat-15-19->Sat-14-18->Sat-04-27->Sat-04-28->NewYork;7475.905055959574;2750.62750135761
